eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE01   SubNetwork=SubNetwork,NetworkElement=vECE01                 vECE01   ESA         Ericsson ACTIVE   2024-04-08 08:00:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC12    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC12                DSC12    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC99    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC99                DSC99    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC60    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC60                DSC60    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC80    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC80                DSC80    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC75    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC75                DSC75    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC30    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC30                DSC30    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC13    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC13                DSC13    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC98    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC98                DSC98    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC11    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC11                DSC11    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC64    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC64                DSC64    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC32    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC32                DSC32    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC93    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC93                DSC93    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC71    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC71                DSC71    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC68    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC68                DSC68    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC15    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC15                DSC15    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC74    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC74                DSC74    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC54    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC54                DSC54    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC49    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC49                DSC49    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC35    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC35                DSC35    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC61    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC61                DSC61    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC97    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC97                DSC97    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC72    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC72                DSC72    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC53    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC53                DSC53    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC85    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC85                DSC85    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC33    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC33                DSC33    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC76    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC76                DSC76    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC50    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC50                DSC50    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC62    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC62                DSC62    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC55    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC55                DSC55    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC92    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC92                DSC92    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC73    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC73                DSC73    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC29    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC29                DSC29    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC78    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC78                DSC78    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC87    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC87                DSC87    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC17    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC17                DSC17    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC96    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC96                DSC96    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC86    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC86                DSC86    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC45    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC45                DSC45    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC46    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC46                DSC46    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOTMO,Site=MSCSCFv10     MSCSCFv10                    1.25       CSCF    ONRM_ROOTMO              CSCFv10  SubNetwork=ONRM_ROOTMO,ManagedElement=CSCFv10               CSCFv10              Ericsson DEACTIVE 2024-05-03 09:30:24.0 2024-05-09 08:45:23.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOTMO,Site=MSCSCFv06     MSCSCFv06                    1.25       CSCF    ONRM_ROOTMO              CSCFv06  SubNetwork=ONRM_ROOTMO,ManagedElement=CSCFv06               CSCFv06              Ericsson DEACTIVE 2024-05-03 09:30:24.0 2024-05-09 08:45:23.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOTMO,Site=MSCSCFv07     MSCSCFv07                    1.25       CSCF    ONRM_ROOTMO              CSCFv07  SubNetwork=ONRM_ROOTMO,ManagedElement=CSCFv07               CSCFv07              Ericsson DEACTIVE 2024-05-03 09:30:24.0 2024-05-09 08:45:23.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOTMO,Site=MSCSCFv08     MSCSCFv08                    1.25       CSCF    ONRM_ROOTMO              CSCFv08  SubNetwork=ONRM_ROOTMO,ManagedElement=CSCFv08               CSCFv08              Ericsson DEACTIVE 2024-05-03 09:30:24.0 2024-05-09 08:45:23.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOTMO,Site=MSCSCFv09     MSCSCFv09                    1.25       CSCF    ONRM_ROOTMO              CSCFv09  SubNetwork=ONRM_ROOTMO,ManagedElement=CSCFv09               CSCFv09              Ericsson DEACTIVE 2024-05-03 09:30:24.0 2024-05-09 08:45:23.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_RootMo,Site=MSHSS04       MSHSS04                      1.37       HSS     ONRM_RootMo              HSS04    SubNetwork=ONRM_RootMo,ManagedElement=HSS04                 HSS04                Ericsson DEACTIVE 2024-05-09 05:00:23.0 2024-05-09 05:00:23.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_RootMo,Site=MSHSS05       MSHSS05                      1.37       HSS     ONRM_RootMo              HSS05    SubNetwork=ONRM_RootMo,ManagedElement=HSS05                 HSS05                Ericsson DEACTIVE 2024-05-09 05:00:23.0 2024-05-09 05:00:23.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_RootMo,Site=MSHSS02       MSHSS02                      1.37       HSS     ONRM_RootMo              HSS02    SubNetwork=ONRM_RootMo,ManagedElement=HSS02                 HSS02                Ericsson DEACTIVE 2024-05-09 05:00:23.0 2024-05-09 05:00:23.0 ENIQ     
eniq_oss_3 MeContext      SubNetwork=SubNetwork,Site=MSvSAPC05      MSvSAPC05                    1.15       vSAPC   SubNetwork               vSAPC05  SubNetwork=SubNetwork,MeContext=vSAPC05                     vSAPC05              Ericsson DEACTIVE 2024-05-09 05:00:23.0 2024-05-09 08:45:23.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_RootMo,Site=MSHSS03       MSHSS03                      1.37       HSS     ONRM_RootMo              HSS03    SubNetwork=ONRM_RootMo,ManagedElement=HSS03                 HSS03                Ericsson DEACTIVE 2024-05-09 05:00:23.0 2024-05-09 05:00:23.0 ENIQ     
eniq_oss_3 MeContext      SubNetwork=SubNetwork,Site=MSvSAPC01      MSvSAPC01                    1.15       vSAPC   SubNetwork               vSAPC01  SubNetwork=SubNetwork,MeContext=vSAPC01                     vSAPC01              Ericsson ACTIVE   2024-05-09 05:00:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 MeContext      SubNetwork=SubNetwork,Site=MSvSAPC04      MSvSAPC04                    1.15       vSAPC   SubNetwork               vSAPC04  SubNetwork=SubNetwork,MeContext=vSAPC04                     vSAPC04              Ericsson DEACTIVE 2024-05-09 05:00:23.0 2024-05-09 08:45:23.0 ENIQ     
eniq_oss_3 MeContext      SubNetwork=SubNetwork,Site=MSvSAPC02      MSvSAPC02                    1.15       vSAPC   SubNetwork               vSAPC02  SubNetwork=SubNetwork,MeContext=vSAPC02                     vSAPC02              Ericsson DEACTIVE 2024-05-09 05:00:23.0 2024-05-09 08:45:23.0 ENIQ     
eniq_oss_3 MeContext      SubNetwork=SubNetwork,Site=MSvSAPC03      MSvSAPC03                    1.15       vSAPC   SubNetwork               vSAPC03  SubNetwork=SubNetwork,MeContext=vSAPC03                     vSAPC03              Ericsson DEACTIVE 2024-05-09 05:00:23.0 2024-05-09 08:45:23.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_RootMo,Site=MSHSS01       MSHSS01                      1.37       HSS     ONRM_RootMo              HSS01    SubNetwork=ONRM_RootMo,ManagedElement=HSS01                 HSS01                Ericsson DEACTIVE 2024-05-09 05:00:23.0 2024-05-09 05:00:23.0 ENIQ     
eniq_oss_3 ManagedElement                                                                        1.25       vCSCF   ONRM_RootMo              CSCF003  SubNetwork=ONRM_RootMo,SubNetwork=TSP,ManagedElement=CSCF00 CSCF003              Ericsson ACTIVE   2024-05-15 09:30:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 ManagedElement                                                                        1.25       vCSCF   ONRM_RootMo              CSCF001  SubNetwork=ONRM_RootMo,SubNetwork=TSP,ManagedElement=CSCF00 CSCF001              Ericsson ACTIVE   2024-05-15 09:30:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 ManagedElement                                                                        1.25       vCSCF   ONRM_RootMo              CSCF005  SubNetwork=ONRM_RootMo,SubNetwork=TSP,ManagedElement=CSCF00 CSCF005              Ericsson ACTIVE   2024-05-15 09:30:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 ManagedElement                                                                        1.25       vCSCF   ONRM_RootMo              CSCF002  SubNetwork=ONRM_RootMo,SubNetwork=TSP,ManagedElement=CSCF00 CSCF002              Ericsson ACTIVE   2024-05-15 09:30:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 ManagedElement                                                                        1.25       vCSCF   ONRM_RootMo              CSCF004  SubNetwork=ONRM_RootMo,SubNetwork=TSP,ManagedElement=CSCF00 CSCF004              Ericsson ACTIVE   2024-05-15 09:30:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 ManagedElement                                                                        1.25       vCSCF   ONRM_ROOT_MO             WCG01    SubNetwork=ONRM_ROOT_MO,SubNetwork=WCG01_PM,ManagedElement= WCG01                Ericsson ACTIVE   2024-05-20 13:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE47   SubNetwork=SubNetwork,NetworkElement=vECE47                 vECE47   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE34   SubNetwork=SubNetwork,NetworkElement=vECE34                 vECE34   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE18   SubNetwork=SubNetwork,NetworkElement=vECE18                 vECE18   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE27   SubNetwork=SubNetwork,NetworkElement=vECE27                 vECE27   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE50   SubNetwork=SubNetwork,NetworkElement=vECE50                 vECE50   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE17   SubNetwork=SubNetwork,NetworkElement=vECE17                 vECE17   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE22   SubNetwork=SubNetwork,NetworkElement=vECE22                 vECE22   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE35   SubNetwork=SubNetwork,NetworkElement=vECE35                 vECE35   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE32   SubNetwork=SubNetwork,NetworkElement=vECE32                 vECE32   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE07   SubNetwork=SubNetwork,NetworkElement=vECE07                 vECE07   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE43   SubNetwork=SubNetwork,NetworkElement=vECE43                 vECE43   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE39   SubNetwork=SubNetwork,NetworkElement=vECE39                 vECE39   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE21   SubNetwork=SubNetwork,NetworkElement=vECE21                 vECE21   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE33   SubNetwork=SubNetwork,NetworkElement=vECE33                 vECE33   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE48   SubNetwork=SubNetwork,NetworkElement=vECE48                 vECE48   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE16   SubNetwork=SubNetwork,NetworkElement=vECE16                 vECE16   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE12   SubNetwork=SubNetwork,NetworkElement=vECE12                 vECE12   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE42   SubNetwork=SubNetwork,NetworkElement=vECE42                 vECE42   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE05   SubNetwork=SubNetwork,NetworkElement=vECE05                 vECE05   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE25   SubNetwork=SubNetwork,NetworkElement=vECE25                 vECE25   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE02   SubNetwork=SubNetwork,NetworkElement=vECE02                 vECE02   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE45   SubNetwork=SubNetwork,NetworkElement=vECE45                 vECE45   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE29   SubNetwork=SubNetwork,NetworkElement=vECE29                 vECE29   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE41   SubNetwork=SubNetwork,NetworkElement=vECE41                 vECE41   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE24   SubNetwork=SubNetwork,NetworkElement=vECE24                 vECE24   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE15   SubNetwork=SubNetwork,NetworkElement=vECE15                 vECE15   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE46   SubNetwork=SubNetwork,NetworkElement=vECE46                 vECE46   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE31   SubNetwork=SubNetwork,NetworkElement=vECE31                 vECE31   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE49   SubNetwork=SubNetwork,NetworkElement=vECE49                 vECE49   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
