KPI,Formula,Description,Counters,CountersDescription,Access Type,System Area,Node Type,Measure,Measure Type,GSM Access Type,LTE Access Type,NR Access Type,WCDMA Access Type,Complexity,Custom Where Clause Condition,Custom Keys,SQL Operator,Mapping Columns,Category
IMS MTAS Unregistered Originating Session Set-up Attempts[per second],(DC_E_MTAS_MTASQOS_RAW.MtasFuncInitOrigUnregSessOk+DC_E_MTAS_MTASQOS_RAW.MtasFuncInitOrigUnregSessNOkI+DC_E_MTAS_MTASQOS_RAW.MtasFuncInitOrigUnregSessNOkE)/(60*Max(PERIOD_DURATION)*(<ROPS>/MAX(PERIOD_DURATION))),,"DC_E_MTAS_MTASQOS_RAW.MtasFuncInitOrigUnregSessOk,DC_E_MTAS_MTASQOS_RAW.MtasFuncInitOrigUnregSessNOkI,DC_E_MTAS_MTASQOS_RAW.MtasFuncInitOrigUnregSessNOkE",,,Core,MTAS,IMS MTAS Unregistered Originating Session Set-up Attempts[per second],KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE,PERIOD_DURATION",,,
IMS SCC AS Number of Simultaneous Sessions,DC_E_MTAS_MTASSCC_RAW.MtasSccCurrentOrigSessionCs+DC_E_MTAS_MTASSCC_RAW.MtasSccCurrentOrigSessionPs+DC_E_MTAS_MTASSCC_RAW.MtasSccCurrentTermSessionCs+DC_E_MTAS_MTASSCC_RAW.MtasSccCurrentTermSessionPs,,"DC_E_MTAS_MTASSCC_RAW.MtasSccCurrentOrigSessionCs,DC_E_MTAS_MTASSCC_RAW.MtasSccCurrentOrigSessionPs,DC_E_MTAS_MTASSCC_RAW.MtasSccCurrentTermSessionCs,DC_E_MTAS_MTASSCC_RAW.MtasSccCurrentTermSessionPs",,,Core,MTAS,IMS SCC AS Number of Simultaneous Sessions,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS Conference AS Scheduled Conference Dial-in Success Ratio ,100*(DC_E_MTAS_MTASCONF_RAW.MtasConfSchedAttempt-(DC_E_MTAS_MTASCONF_RAW.MtasConfSchedDialInNOkE+DC_E_MTAS_MTASCONF_RAW.MtasConfSchedDialInNOkI))/DC_E_MTAS_MTASCONF_RAW.MtasConfSchedAttempt,,"DC_E_MTAS_MTASCONF_RAW.MtasConfSchedAttempt,DC_E_MTAS_MTASCONF_RAW.MtasConfSchedDialInNOkE, DC_E_MTAS_MTASCONF_RAW.MtasConfSchedDialInNOkI",,,Core,MTAS,IMS Conference AS Scheduled Conference Dial-in Success Ratio ,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS SCC AS Originating Service from CS Success Ratio,100*(DC_E_MTAS_MTASSCC_RAW.MtasSccInitOrigSessCsOk/(DC_E_MTAS_MTASSCC_RAW.MtasSccInitOrigSessCsOk+DC_E_MTAS_MTASSCC_RAW.MtasSccInitOrigSessCsNOkE+DC_E_MTAS_MTASSCC_RAW.MtasSccInitOrigSessCsNOkI)),,"DC_E_MTAS_MTASSCC_RAW.MtasSccInitOrigSessCsOk,DC_E_MTAS_MTASSCC_RAW.MtasSccInitOrigSessCsOk,DC_E_MTAS_MTASSCC_RAW.MtasSccInitOrigSessCsNOkE,DC_E_MTAS_MTASSCC_RAW.MtasSccInitOrigSessCsNOkI",,,Core,MTAS,IMS SCC AS Originating Service from CS Success Ratio,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS SCC AS Originating Service from PS Success Ratio,100*(DC_E_MTAS_MTASSCC_RAW.MtasSccInitOrigSessPsOk/(DC_E_MTAS_MTASSCC_RAW.MtasSccInitOrigSessPsOk+DC_E_MTAS_MTASSCC_RAW.MtasSccInitOrigSessPsNOkE+DC_E_MTAS_MTASSCC_RAW.MtasSccInitOrigSessPsNOkI)),,"DC_E_MTAS_MTASSCC_RAW.MtasSccInitOrigSessPsOk,DC_E_MTAS_MTASSCC_RAW.MtasSccInitOrigSessPsOk,DC_E_MTAS_MTASSCC_RAW.MtasSccInitOrigSessPsNOkE,DC_E_MTAS_MTASSCC_RAW.MtasSccInitOrigSessPsNOkI",,,Core,MTAS,IMS SCC AS Originating Service from PS Success Ratio,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS SCC AS Originating Unregistered Service from CS  Success Ratio,100*(DC_E_MTAS_MTASSCC_RAW.MtasSccInitOrigUnregSessCsOk/(DC_E_MTAS_MTASSCC_RAW.MtasSccInitOrigUnregSessCsOk+DC_E_MTAS_MTASSCC_RAW.MtasSccInitOrigUnregSessCsNOkI+DC_E_MTAS_MTASSCC_RAW.MtasSccInitOrigUnregSessCsNOkE)),,"DC_E_MTAS_MTASSCC_RAW.MtasSccInitOrigUnregSessCsOk,DC_E_MTAS_MTASSCC_RAW.MtasSccInitOrigUnregSessCsOk,DC_E_MTAS_MTASSCC_RAW.MtasSccInitOrigUnregSessCsNOkI,DC_E_MTAS_MTASSCC_RAW.MtasSccInitOrigUnregSessCsNOkE",,,Core,MTAS,IMS SCC AS Originating Unregistered Service from CS  Success Ratio,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS SCC AS Originating Unregistered Service from PS  Success Ratio,100*(DC_E_MTAS_MTASSCC_RAW.MtasSccInitOrigUnregSessPsOk/(DC_E_MTAS_MTASSCC_RAW.MtasSccInitOrigUnregSessPsOk+DC_E_MTAS_MTASSCC_RAW.MtasSccInitOrigUnregSessPsNOkE+DC_E_MTAS_MTASSCC_RAW.MtasSccInitOrigUnregSessPsNOKI)),,"DC_E_MTAS_MTASSCC_RAW.MtasSccInitOrigUnregSessPsOk,DC_E_MTAS_MTASSCC_RAW.MtasSccInitOrigUnregSessPsOk,DC_E_MTAS_MTASSCC_RAW.MtasSccInitOrigUnregSessPsNOkE,DC_E_MTAS_MTASSCC_RAW.MtasSccInitOrigUnregSessPsNOKI",,,Core,MTAS,IMS SCC AS Originating Unregistered Service from PS  Success Ratio,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS SCC AS Terminating Service Centralization and Continuity (SCC) from CS Success Ratio ,100*DC_E_MTAS_MTASSCC_RAW.MtasSccTermCsOk/(DC_E_MTAS_MTASSCC_RAW.MtasSccTermCsOk+DC_E_MTAS_MTASSCC_RAW.MtasSccTermCsFailed),,"DC_E_MTAS_MTASSCC_RAW.MtasSccTermCsOk,DC_E_MTAS_MTASSCC_RAW.MtasSccTermCsOk,DC_E_MTAS_MTASSCC_RAW.MtasSccTermCsFailed",,,Core,MTAS,IMS SCC AS Terminating Service Centralization and Continuity (SCC) from CS Success Ratio ,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS SCC AS Terminating Service Centralization and Continuity (SCC) from PS Success Ratio ,100*DC_E_MTAS_MTASSCC_RAW.MtasSccTermPsOk/(DC_E_MTAS_MTASSCC_RAW.MtasSccTermPsOk+DC_E_MTAS_MTASSCC_RAW.MtasSccTermPsFailed),,"DC_E_MTAS_MTASSCC_RAW.MtasSccTermPsOk,DC_E_MTAS_MTASSCC_RAW.MtasSccTermPsOk,DC_E_MTAS_MTASSCC_RAW.MtasSccTermPsFailed",,,Core,MTAS,IMS SCC AS Terminating Service Centralization and Continuity (SCC) from PS Success Ratio ,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS SCC AS Terminating Service Success Ratio,100*(DC_E_MTAS_MTASSCC_RAW.MtasSccInitTermSessOk/(DC_E_MTAS_MTASSCC_RAW.MtasSccInitTermSessOk+DC_E_MTAS_MTASSCC_RAW.MtasSccInitTermSessNOkI+DC_E_MTAS_MTASSCC_RAW.MtasSccInitTermSessNOkE)),,"DC_E_MTAS_MTASSCC_RAW.MtasSccInitTermSessOk,DC_E_MTAS_MTASSCC_RAW.MtasSccInitTermSessOk,DC_E_MTAS_MTASSCC_RAW.MtasSccInitTermSessNOkI,DC_E_MTAS_MTASSCC_RAW.MtasSccInitTermSessNOkE",,,Core,MTAS,IMS SCC AS Terminating Service Success Ratio,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS SCC AS Terminating Unregistered Service Success Ratio,100*(DC_E_MTAS_MTASSCC_RAW.MtasSccInitTermUnregSessOk/(DC_E_MTAS_MTASSCC_RAW.MtasSccInitTermUnregSessOk+DC_E_MTAS_MTASSCC_RAW.MtasSccInitTermUnregSessNOkI+DC_E_MTAS_MTASSCC_RAW.MtasSccInitTermUnregSessNOkE)),,"DC_E_MTAS_MTASSCC_RAW.MtasSccInitTermUnregSessOk,DC_E_MTAS_MTASSCC_RAW.MtasSccInitTermUnregSessOk,DC_E_MTAS_MTASSCC_RAW.MtasSccInitTermUnregSessNOkI,DC_E_MTAS_MTASSCC_RAW.MtasSccInitTermUnregSessNOkE",,,Core,MTAS,IMS SCC AS Terminating Unregistered Service Success Ratio,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS SCC AS Terminating Service to VoLTE CS UE Success Ratio,100*(DC_E_MTAS_MTASSCC_RAW.MtasSccTermCsSuccAttempt/(DC_E_MTAS_MTASSCC_RAW.MtasSccTermCsSuccAttempt+DC_E_MTAS_MTASSCC_RAW.MtasSccTermCsFailedAttempt)),,"DC_E_MTAS_MTASSCC_RAW.MtasSccTermCsSuccAttempt,DC_E_MTAS_MTASSCC_RAW.MtasSccTermCsSuccAttempt,DC_E_MTAS_MTASSCC_RAW.MtasSccTermCsFailedAttempt",,,Core,MTAS,IMS SCC AS Terminating Service to VoLTE CS UE Success Ratio,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS SCC AS Terminating Service to VoLTE PS UE Success Ratio,100*(DC_E_MTAS_MTASSCC_RAW.MtasSccTermPsSuccAttempt/(DC_E_MTAS_MTASSCC_RAW.MtasSccTermPsFailedAttempt+DC_E_MTAS_MTASSCC_RAW.MtasSccTermPsSuccAttempt)),,"DC_E_MTAS_MTASSCC_RAW.MtasSccTermPsSuccAttempt,DC_E_MTAS_MTASSCC_RAW.MtasSccTermPsFailedAttempt,DC_E_MTAS_MTASSCC_RAW.MtasSccTermPsSuccAttempt",,,Core,MTAS,IMS SCC AS Terminating Service to VoLTE PS UE Success Ratio,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS SCC AS Terminating Unregistered Service to VoLTE PS UE Success Ratio,100*(DC_E_MTAS_MTASSCC_RAW.MtasSccTermUnregPsSuccAttempt/(DC_E_MTAS_MTASSCC_RAW.MtasSccTermUnregPsSuccAttempt+DC_E_MTAS_MTASSCC_RAW.MtasSccTermUnregPsFailedAttempt)),,"DC_E_MTAS_MTASSCC_RAW.MtasSccTermUnregPsSuccAttempt,DC_E_MTAS_MTASSCC_RAW.MtasSccTermUnregPsSuccAttempt,DC_E_MTAS_MTASSCC_RAW.MtasSccTermUnregPsFailedAttempt",,,Core,MTAS,IMS SCC AS Terminating Unregistered Service to VoLTE PS UE Success Ratio,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS SCC AS Single Radio Voice Call Continuity (SRVCC) Access Transfer Success Ratio,100*(DC_E_MTAS_MTASPX_RAW.MtasPxReceivedRequests-DC_E_MTAS_MTASPX_RAW.MtasPxRejectedRequests)/DC_E_MTAS_MTASPX_RAW.MtasPxReceivedRequests,,"DC_E_MTAS_MTASPX_RAW.MtasPxReceivedRequests,DC_E_MTAS_MTASPX_RAW.MtasPxRejectedRequests",,,Core,MTAS,IMS SCC AS Single Radio Voice Call Continuity (SRVCC) Access Transfer Success Ratio,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS MMTEL AS Incoming Parlay-X Request Success Ratio,100*(DC_E_MTAS_MTASPX_RAW.MtasPxSentRequests-DC_E_MTAS_MTASPX_RAW.MtasPxReceivedErrorResponses)/DC_E_MTAS_MTASPX_RAW.MtasPxSentRequests,,"DC_E_MTAS_MTASPX_RAW.MtasPxSentRequests,DC_E_MTAS_MTASPX_RAW.MtasPxReceivedErrorResponses",,,Core,MTAS,IMS MMTEL AS Incoming Parlay-X Request Success Ratio,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS MMTEL AS Outgoing Parlay-X Request Success Ratio,100*DC_E_MTAS_MTASSIP_RAW.MtasSipSccOrigRequestOverloadRej/DC_E_MTAS_MTASSIP_RAW.MtasSipSccOrigRequestIn,,"DC_E_MTAS_MTASSIP_RAW.MtasSipSccOrigRequestOverloadRej,DC_E_MTAS_MTASSIP_RAW.MtasSipSccOrigRequestIn",,,Core,MTAS,IMS MMTEL AS Outgoing Parlay-X Request Success Ratio,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS MTAS SIP SCC Orig Requests In Overload Rejection Ratio,100*DC_E_MTAS_MTASSIP_RAW.MtasSipSccTermRequestOverloadRej/DC_E_MTAS_MTASSIP_RAW.MtasSipSccTermRequestIn,,"DC_E_MTAS_MTASSIP_RAW.MtasSipSccTermRequestOverloadRej,DC_E_MTAS_MTASSIP_RAW.MtasSipSccTermRequestIn",,,Core,MTAS,IMS MTAS SIP SCC Orig Requests In Overload Rejection Ratio,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS MTAS SIP SCC Term Requests In Overload Rejection Ratio,100*(DC_E_MTAS_MTASSIP_RAW.MtasSipCnamePollOk)/(DC_E_MTAS_MTASSIP_RAW.MtasSipCnamePollOk+DC_E_MTAS_MTASSIP_RAW.MtasSipCnamePollNOk),,"DC_E_MTAS_MTASSIP_RAW.MtasSipCnamePollOk,DC_E_MTAS_MTASSIP_RAW.MtasSipCnamePollOk,DC_E_MTAS_MTASSIP_RAW.MtasSipCnamePollNOk",,,Core,MTAS,IMS MTAS SIP SCC Term Requests In Overload Rejection Ratio,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS MMTEL AS Polling of Calling Name Information Success Ratio,100*(DC_E_MTAS_MTASCR_RAW.MtasCrInvAnnOk)/(DC_E_MTAS_MTASCR_RAW.MtasCrInvAnnOk+DC_E_MTAS_MTASCR_RAW.MtasCrInvNOkE+DC_E_MTAS_MTASCR_RAW.MtasCrInvNOkI),,"DC_E_MTAS_MTASCR_RAW.MtasCrInvAnnOk,DC_E_MTAS_MTASCR_RAW.MtasCrInvAnnOk,DC_E_MTAS_MTASCR_RAW.MtasCrInvNOkE,DC_E_MTAS_MTASCR_RAW.MtasCrInvNOkI",,,Core,MTAS,IMS MMTEL AS Polling of Calling Name Information Success Ratio,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS MMTEL AS Call Return Service Success Ratio,100*(DC_E_MTAS_MTASGENSSCODES_RAW.MtasGenSscInvOk)/(DC_E_MTAS_MTASGENSSCODES_RAW.MtasGenSscInvOk+DC_E_MTAS_MTASGENSSCODES_RAW.MtasGenSscInvNOkE+DC_E_MTAS_MTASGENSSCODES_RAW.MtasGenSscInvNOkI),,"DC_E_MTAS_MTASGENSSCODES_RAW.MtasGenSscInvOk,DC_E_MTAS_MTASGENSSCODES_RAW.MtasGenSscInvOk,DC_E_MTAS_MTASGENSSCODES_RAW.MtasGenSscInvNOkE,DC_E_MTAS_MTASGENSSCODES_RAW.MtasGenSscInvNOkI",,,Core,MTAS,IMS MMTEL AS Call Return Service Success Ratio,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS MMTEL AS Generic Supplementary Service Code Invocation Service Success Ratio,100*(DC_E_MTAS_MTASOCT_RAW.MtasOctTransferorAnswered/ DC_E_MTAS_MTASOCT_RAW.MtasOctTransferAttempt),,"DC_E_MTAS_MTASOCT_RAW.MtasOctTransferorAnswered,DC_E_MTAS_MTASOCT_RAW.MtasOctTransferAttempt",,,Core,MTAS,IMS MMTEL AS Generic Supplementary Service Code Invocation Service Success Ratio,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS MMTEL AS Operator Controlled Transfer Service Answered Ratio,100*(DC_E_MTAS_MTASPRIORITYCALL_RAW.MtasPriorityCallWpsEstablished /DC_E_MTAS_MTASPRIORITYCALL_RAW.MtasPriorityCallWpsRequested),,"DC_E_MTAS_MTASPRIORITYCALL_RAW.MtasPriorityCallWpsEstablished,DC_E_MTAS_MTASPRIORITYCALL_RAW.MtasPriorityCallWpsRequested",,,Core,MTAS,IMS MMTEL AS Operator Controlled Transfer Service Answered Ratio,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS MMTel Priority Call Successfully Established Ratio,100*(DC_E_MTAS_MTASRBT_RAW.MtasRbtOk/(DC_E_MTAS_MTASRBT_RAW.MtasRbtOk+DC_E_MTAS_MTASRBT_RAW.MtasRbtNOkE+DC_E_MTAS_MTASRBT_RAW.MtasRbtNOkI)),,"DC_E_MTAS_MTASRBT_RAW.MtasRbtOk,DC_E_MTAS_MTASRBT_RAW.MtasRbtOk,DC_E_MTAS_MTASRBT_RAW.MtasRbtNOkE,DC_E_MTAS_MTASRBT_RAW.MtasRbtNOkI",,,Core,MTAS,IMS MMTel Priority Call Successfully Established Ratio,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS MMTel Ring Back Tone Request Success Ratio,100*(DC_E_MTAS_MTASSDS_RAW.MtasSdsCapInitDPOk/(DC_E_MTAS_MTASSDS_RAW.MtasSdsCapInitDPOk+DC_E_MTAS_MTASSDS_RAW.MtasSdsCapInitDPNOkI+DC_E_MTAS_MTASSDS_RAW.MtasSdsCapInitDPNOkE)),,"DC_E_MTAS_MTASSDS_RAW.MtasSdsCapInitDPOk,DC_E_MTAS_MTASSDS_RAW.MtasSdsCapInitDPOk,DC_E_MTAS_MTASSDS_RAW.MtasSdsCapInitDPNOkI,DC_E_MTAS_MTASSDS_RAW.MtasSdsCapInitDPNOkE",,,Core,MTAS,IMS MMTel Ring Back Tone Request Success Ratio,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS SCC AS CAP Request Success Ratio,100*(DC_E_MTAS_MTASCUG_RAW.MtasCugOk/(DC_E_MTAS_MTASCUG_RAW.MtasCugOk+DC_E_MTAS_MTASCUG_RAW.MtasCugRejected)),,"DC_E_MTAS_MTASCUG_RAW.MtasCugOk,DC_E_MTAS_MTASCUG_RAW.MtasCugOk,DC_E_MTAS_MTASCUG_RAW.MtasCugRejected",,,Core,MTAS,IMS SCC AS CAP Request Success Ratio,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS MMTel AS Closed User Group  Request Success Ratio,100*(DC_E_MTAS_MTASST_RAW.MtasStOrigSuccAttempt/(DC_E_MTAS_MTASST_RAW.MtasStOrigSuccAttempt+DC_E_MTAS_MTASST_RAW.MtasStOrigFailedAttempt)),,"DC_E_MTAS_MTASST_RAW.MtasStOrigSuccAttempt,DC_E_MTAS_MTASST_RAW.MtasStOrigSuccAttempt,DC_E_MTAS_MTASST_RAW.MtasStOrigFailedAttempt",,,Core,MTAS,IMS MMTel AS Closed User Group  Request Success Ratio,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS ST AS Originating Session Setup Success Ratio,100*(DC_E_MTAS_MTASST_RAW.MtasStTermSuccAttempt/(DC_E_MTAS_MTASST_RAW.MtasStTermSuccAttempt+DC_E_MTAS_MTASST_RAW.MtasStTermFailedAttempt)),,"DC_E_MTAS_MTASST_RAW.MtasStTermSuccAttempt,DC_E_MTAS_MTASST_RAW.MtasStTermSuccAttempt,DC_E_MTAS_MTASST_RAW.MtasStTermFailedAttempt",,,Core,MTAS,IMS ST AS Originating Session Setup Success Ratio,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS ST AS Terminating Session Setup Success Ratio,DC_E_MTAS_MTASSDS_RAW.MtasSdsCurrentImrnUsage,,DC_E_MTAS_MTASSDS_RAW.MtasSdsCurrentImrnUsage,,,Core,MTAS,IMS ST AS Terminating Session Setup Success Ratio,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS SCC AS IP Multimedia Routing Numbers (IMRN) in use [%], (100*(DC_E_MTAS_MTASSRVCC_RAW.MtasSrvccActiveTransferOk+DC_E_MTAS_MTASSRVCC_RAW.MtasSrvccActiveTransferNOkUser)/DC_E_MTAS_MTASSRVCC_RAW.MtasSrvccActiveAttempt),,"DC_E_MTAS_MTASSRVCC_RAW.MtasSrvccActiveTransferOk,DC_E_MTAS_MTASSRVCC_RAW.MtasSrvccActiveTransferNOkUser,DC_E_MTAS_MTASSRVCC_RAW.MtasSrvccActiveAttempt",,,Core,MTAS,IMS SCC AS IP Multimedia Routing Numbers (IMRN) in use [%],KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS SCC AS Single Radio Voice Call Continuity (SRVCC) Active Session Access Transfer Success Ratio,(100*((DC_E_MTAS_MTASSRVCC_RAW.MtasSrvccAlertingTransferOk+DC_E_MTAS_MTASSRVCC_RAW.MtasSrvccAlertingTransferNOkUser)/(DC_E_MTAS_MTASSRVCC_RAW.MtasSrvccAlertingAttempt))),,"DC_E_MTAS_MTASSRVCC_RAW.MtasSrvccAlertingTransferOk,DC_E_MTAS_MTASSRVCC_RAW.MtasSrvccAlertingTransferNOkUser,DC_E_MTAS_MTASSRVCC_RAW.MtasSrvccAlertingAttempt",,,Core,MTAS,IMS SCC AS Single Radio Voice Call Continuity (SRVCC) Active Session Access Transfer Success Ratio,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS SCC AS Single Radio Voice Call Continuity (SRVCC) Alerting Access Transfer Success Ratio,(100*((DC_E_MTAS_MTASSRVCC_RAW.MtasSrvccPreAlertingTransferOk+DC_E_MTAS_MTASSRVCC_RAW.MtasSrvccPreAlertingTransferNOkUser)/(DC_E_MTAS_MTASSRVCC_RAW.MtasSrvccPreAlertingAttempt))),,"DC_E_MTAS_MTASSRVCC_RAW.MtasSrvccPreAlertingTransferOk,DC_E_MTAS_MTASSRVCC_RAW.MtasSrvccPreAlertingTransferNOkUser,DC_E_MTAS_MTASSRVCC_RAW.MtasSrvccPreAlertingAttempt",,,Core,MTAS,IMS SCC AS Single Radio Voice Call Continuity (SRVCC) Alerting Access Transfer Success Ratio,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS SCC AS Single Radio Voice Call Continuity (SRVCC) pre-Alerting Access Transfer Success Ratio,100*DC_E_MTAS_MTASCAT_RAW.MtasCatSignalOk/(DC_E_MTAS_MTASCAT_RAW.MtasCatSignalOk+DC_E_MTAS_MTASCAT_RAW.MtasCatSignalNOkE+DC_E_MTAS_MTASCAT_RAW.MtasCatSignalNOkI),,"DC_E_MTAS_MTASCAT_RAW.MtasCatSignalOk,DC_E_MTAS_MTASCAT_RAW.MtasCatSignalOk,DC_E_MTAS_MTASCAT_RAW.MtasCatSignalNOkE,DC_E_MTAS_MTASCAT_RAW.MtasCatSignalNOkI",,,Core,MTAS,IMS SCC AS Single Radio Voice Call Continuity (SRVCC) pre-Alerting Access Transfer Success Ratio,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS MMTEL AS Customized Alerting Tones (CAT) Service Success Ratio,100*(DC_E_MTAS_MTASSTOD_RAW.MtasStodOk/DC_E_MTAS_MTASSTOD_RAW.MtasStodAttempt),,"DC_E_MTAS_MTASSTOD_RAW.MtasStodOk,DC_E_MTAS_MTASSTOD_RAW.MtasStodAttempt",,,Core,MTAS,IMS MMTEL AS Customized Alerting Tones (CAT) Service Success Ratio,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS MMTEL AS Session Transfer to Own Device (STOD) Service Success Ratio,(DC_E_MTAS_MTASSTODCALLPULL_RAW.MtasStodCallPullOk+DC_E_MTAS_MTASSTODCALLPULL_RAW.MtasStodCallPullFailure)/((DC_E_MTAS_MTASSTODCALLPULL_RAW.MtasStodCallPullOk+DC_E_MTAS_MTASSTODCALLPULL_RAW.MtasStodCallPullFailure+DC_E_MTAS_MTASSTODCALLPULL_RAW.MtasStodCallPullNOkE+DC_E_MTAS_MTASSTODCALLPULL_RAW.MtasStodCallPullNOkI)),,"DC_E_MTAS_MTASSTODCALLPULL_RAW.MtasStodCallPullOk,DC_E_MTAS_MTASSTODCALLPULL_RAW.MtasStodCallPullFailure,DC_E_MTAS_MTASSTODCALLPULL_RAW.MtasStodCallPullOk,DC_E_MTAS_MTASSTODCALLPULL_RAW.MtasStodCallPullFailure,DC_E_MTAS_MTASSTODCALLPULL_RAW.MtasStodCallPullNOkE,DC_E_MTAS_MTASSTODCALLPULL_RAW.MtasStodCallPullNOkI",,,Core,MTAS,IMS MMTEL AS Session Transfer to Own Device (STOD) Service Success Ratio,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS MMTEL AS Session Transfer to Own Device (STOD) Call Pull Service Success Ratio,100*(DC_E_MTAS_MTASMMT_RAW.MtasMmtSubsSessOk/DC_E_MTAS_MTASMMT_RAW.MtasMmtSubsSessAttempt),,"DC_E_MTAS_MTASMMT_RAW.MtasMmtSubsSessOk,DC_E_MTAS_MTASMMT_RAW.MtasMmtSubsSessAttempt",,,Core,MTAS,IMS MMTEL AS Session Transfer to Own Device (STOD) Call Pull Service Success Ratio,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
